死,死 death  シ  し.ぬ die
安,安 peaceful  アン  やす.い peaceful; cheap
兵,兵 soldier  ヘイ  ヒョウ
親,"親 parent  シン  おや  した.しい close, intimate  した.しむ to befriend, grow close to"
六,六 six  ロク  むっ.つ  む.つ  むい  む
治,治 govern  ジ  チ  おさ.める to govern  おさ.まる to be at peace  なお.る to get better  なお.す to cure
決,決 decide  ケツ  き.める to decide  き.まる to be decided
太,"太 fat  タ  タイ  ふと.い  ふと.る to get fat, to put on weight"
氏,氏 family  シ  うじ family name
衛,衛 defense  エイ
強,"強 strong  キョウ  ゴウ  つよ.い  つよ.まる to get stronger  つよ.める to strengthen  し.いる to compel, to force"
使,使 use  シ  つか.う to use
込,込 crowded  こ.む to be crowded  こ.める to load; to include
朝,朝 morning  チョウ  あさ
受,"受 receive  ジュ  う.ける to receive, to accept  う.かる to pass (an exam)"
島,島 island  トウ  しま
解,"解 untie  カイ  ゲ  と.く to untie, solve, resolve  と.ける to come undone, disappear  と.かす to melt, dissolve"
市,市 market  シ  いち
期,期 period of time  キ  ゴ
様,様 Mr  ヨウ  さま Mr / Mrs
村,村 village  ソン  むら
活,活 activity  カツ
頭,頭 head  トウ  ト  ズ  あたま  かしら
題,題 topic  ダイ
万,"万 10,000  マン  バン"
組,"組 join forces  ソ  く.む to join forces, put together  くみ  -ぐみ class(es), set(s)"
仕,仕 attend to  シ  ジ  つか.える to attend to
白,白 white  ハク  しろ.い  しろ  しら-
指,指 finger  シ  ゆび  さ.す to point
説,"説 explain  セツ  ゼイ  と.く to explain, persuade"
七,七 seven  シチ  なな.つ  なな  なの
能,能 ability  ノウ
京,京 capital  キョウ  ケイ
葉,葉 leaf  ヨウ  は leaves
第,第 number  ダイ
流,"流 flow  ル  リュウ  なが.れる to flow  なが.す to pour out, to flush"
然,然 resemble  ゼン  ネン
初,初 first  ショ  はつ  うい-  はじ.め beginning  -ぞ.め first doing of
足,足 foot  ソク  あし foot; leg  た.す to add  た.る  た.りる to be sufficient
円,円 circle; yen  エン  まる.い round
在,在 exist  ザイ  あ.る to exist
門,門 gate  モン  かど
調,"調 investigate  チョウ  しら.べる to investigate  ととの.う to be arranged, to be in order  ととの.える to adjust, tune"
笑,笑 laugh  ショウ  わら.う to laugh  え.む to smile
品,品 goods  ヒン  しな
電,電 electricity  デン
議,議 deliberation  ギ
直,直 honest  チョク  ジキ  なお.す to correct  なお.る to be cured  ただ.ちに immediately
着,着 arrive  チャク  ジャク  つ.く to arrive  つ.ける to attach  き.る to wear  き.せる to make wear
保,"保 protect  ホ  たも.つ to protect, safeguard"
別,別 separated  ベツ  わか.れる to be separated
夫,夫 husband  フ  フウ  おっと
音,音 sound  オン  イン  おと  ね
選,選 choose  セン  えら.ぶ
元,元 origin; original  ゲン  ガン  もと origin
権,権 right  ケン  ゴン
特,特 special  トク
義,義 honour; meaning  ギ
父,父 father  フ  ちち
利,利 effective  リ  き.く to be effective
制,制 system  セイ
続,続 continue  ゾク  つづ.く to continue  つづ.ける to carry on with
風,風 wind  フ  フウ  かぜ  かざ-
北,北 north  ホク  きた
石,石 stone  セキ  シャク  コク  いし
車,車 car  シャ  くるま
進,"進 advance  シン  すす.む to advance  すす.める to promote, push"
夜,夜 night  ヤ  よる  よ
伝,"伝 tell  デン  つた.える to tell, transmit  つた.わる to be handed down  つた.う to go along"
母,母 mother  ボ  はは
加,"加 add  カ  くわ.える to add to  くわ.わる to join, to be added to"
助,"助 help  ジョ  すけ  たす.ける to help, save  たす.かる to be helped"
点,点 spot  テン
産,産 giving birth  サン  う.む to give birth to  う.まれる to be born  うぶ- newborn
務,務 work  ム  つと.める to work  つと.まる to be fit for
件,件 affair  ケン
命,命 life  メイ  ミョウ  いのち
番,番 turn  バン
落,落 fall  ラク  お.ちる to fall  お.とす to drop (something)
付,"付 put in place  フ  つ.ける to put in place, affix  つ.く to adhere to"
得,得 profit  トク  え.る  う.る to acquire
半,半 half  ハン  なか.ば
戸,戸 door  コ  と
好,好 like  コウ  この.む  す.く to like
空,"空 empty  クウ  から  あ.く to be empty  あ.ける to empty, vacate  そら sky"
有,有 possess  ユウ  ウ  あ.る to possess; to exist
違,"違 different  イ  ちが.う to be different  ちが.える to change, alter, vary"
吉,吉 good luck  キツ  キチ
殺,殺 kill  サツ  サイ  セツ  ころ.す to kill
